id;code;name;expiration_in_month;type_course;autorization_by;duration_authorization_in_month;description;link
1;Dollar Peru Innovati;infomediaries Specialist;20270;PRESENT;Wooden Ergonomic;5463;Sausages;recontextualize navigate
2;Tasty;generating deposit systems;83952;REMOTE;Rubber JBOD;19745;reboot Harbors;Idaho
3;Bedfordshire overrid;Steel Concrete Table;5375;REMOTE;Configurable Gorgeous;70407;Cambridgeshire;auxiliary Account open-source
4;Account;invoice withdrawal;74893;ONLINE;one-to-one;91381;Unit FTP;Avon Car
5;withdrawal;withdrawal motivating Customer;78717;PRESENT;Rubber U.S. Credit;5466;Pula;Shoes matrices SMS
6;matrix;Regional pink;12900;WBT;quantify wireless Associate;65694;Kids global Small;extend
7;up;Account generating emulation;86980;PRESENT;Mouse Response;75751;Pound;Rubber web-readiness
8;orange Buckinghamshi;Lodge;16723;REMOTE;Regional;41742;toolset;Sleek
9;Garden Strategist ge;Account;86981;PRESENT;Lebanese Product Metal;92203;Licensed;tan Fresh
10;interface copy asymm;calculate Lesotho;13448;PRESENT;convergence RSS;18091;International;Movies
