id;training_id;requirents_id;description;expiration;link
1;61131;95576;Rubber Accountability;2023-04-14T18:20:48;invoice
2;89943;17209;California;2023-04-14T12:04:28;Towels Utah
3;59313;72232;Indiana incentivize Card;2023-04-14T12:49:55;regional
4;38029;44948;Garden Internal;2023-04-15T06:48:54;HTTP
5;68196;68355;calculating Account back-end;2023-04-14T22:46:05;solutions Coordinator Market
6;62233;31252;hybrid;2023-04-14T14:14:31;Steel
7;97090;60123;Antigua e-business Architect;2023-04-14T22:16:16;Minnesota
8;40750;19614;productize channels cross-platform;2023-04-14T19:32:52;Enterprise-wide overriding
9;97136;29786;Aruba;2023-04-15T08:29:38;Wooden
10;60279;73804;Polarised mindshare Mill;2023-04-15T01:43:44;Investment
