id;employee_id;date;description;state;link
1;89897;2023-04-14T11:35:07;payment;NEW;Alaska vortals
2;7100;2023-04-14T19:40:27;Afghani yellow;CHECK;channels
3;43481;2023-04-14T18:54:23;architectures bandwidth;CHECK;Bedfordshire
4;39324;2023-04-14T19:20:23;solid Developer;CHECK;Loan
5;77224;2023-04-14T18:45:03;Cotton;CHECK;port
6;16691;2023-04-15T00:10:36;Global Program;CHECK;Buckinghamshire open-source Home
7;87215;2023-04-14T22:44:33;value-added data-warehouse Avon;CHECK;Grass-roots
8;97732;2023-04-14T15:49:41;mobile customer Unbranded;CHECK;Concrete Tuna
9;22826;2023-04-15T10:00:09;didactic Colombian Dalasi;NEW;Re-contextualized indexing Avon
10;26146;2023-04-14T13:42:56;connecting Republic complexity;CHECK;Romania Cotton
