id;course_id;employee_id;code;date;expiry
1;22625;26268;cross-platform Metal;2023-04-15T06:20:59;2023-04-14T22:42:48
2;17978;31144;US;2023-04-14T19:04:57;2023-04-15T04:43:57
3;18940;79936;Architect Shirt expe;2023-04-14T17:29:20;2023-04-15T08:48:05
4;66487;23234;scale Virginia syner;2023-04-14T21:50:44;2023-04-14T21:42:10
5;89978;82584;Georgia Streamlined;2023-04-15T03:47:02;2023-04-15T02:46:05
6;13375;32343;heuristic Rubber;2023-04-15T04:57:56;2023-04-14T23:32:24
7;33123;298;Towels;2023-04-15T06:52:26;2023-04-14T19:04:32
8;39831;82229;Rubber back-end;2023-04-14T21:47:54;2023-04-15T05:16:06
9;89046;41080;programming copy;2023-04-15T09:29:43;2023-04-14T16:55:15
10;69276;61859;Metal convergence;2023-04-14T20:25:13;2023-04-14T13:08:32
